evento,detector,gps,vector_icrs,porcentaje
GW150914,H1,1126259462.4,[ 0.61026253  0.40406153 -0.68140584],53.125
GW170729,H1,1185389807.3,[-0.41557948  0.60437167 -0.67972684],53.125
GW170729,L1,1185389807.3,[-0.63943102 -0.06482074 -0.76611111],59.375
GW170729,V1,1185389807.3,[ 0.65119679 -0.68886447 -0.31844698],53.125
GW170809,V1,1186302519.8,[-0.92381932  0.21649904 -0.31573093],71.875
GW170814,L1,1186741861.5,[ 0.16700867  0.61887036 -0.76753344],62.5
GW170814,V1,1186741861.5,[-0.87728281 -0.36142784 -0.31582397],59.375
GW170817,L1,1187008882.4,[-0.22508046  0.60106143 -0.76685328],75.0
GW170817,V1,1187008882.4,[-0.50259631 -0.80451316 -0.31647358],75.0
GW170818,L1,1187058327.1,[ 0.46769525 -0.43746776 -0.76803849],71.875
GW170818,V1,1187058327.1,[ 0.088359    0.94414658 -0.31745853],65.625
GW170823,L1,1187529256.5,[-0.36533554  0.52804663 -0.76661379],71.875
GW190403_051519,L1,1238303737.2,[-0.46187403 -0.44645609 -0.7663872 ],59.375
GW190403_051519,V1,1238303737.2,[ 0.93793247 -0.13610558 -0.31899524],65.625
GW190408_181802,L1,1238782700.2,[ 0.26691512  0.58263647 -0.76765296],62.5
GW190412,L1,1239082262.1,[-0.35212551 -0.53697476 -0.76659359],71.875
GW190413_052954,L1,1239168612.5,[-0.34479884 -0.54168956 -0.76660693],53.125
GW190421_213856,L1,1239917954.2,[-0.40020596  0.5024374  -0.76641493],53.125
GW190425,L1,1240215503.0,[ 0.23489147 -0.59621133 -0.76769659],53.125
GW190425,V1,1240215503.0,[ 0.48433241  0.81499431 -0.31812953],65.625
GW190426_190642,H1,1240340820.6,[ 0.6073479   0.40820788 -0.68153859],56.25
GW190426_190642,L1,1240340820.6,[-0.05969489  0.63880835 -0.76704655],59.375
GW190426_190642,V1,1240340820.6,[-0.69615019 -0.64460964 -0.31599577],56.25
GW190503_185404,L1,1240944862.2,[-0.10113974  0.63365913 -0.76697253],59.375
